project_name	region	province	data_set_name	languoid_name_new	latitude	longitude	classification	genre	subgenre	mode	elicited_or_natural	morphs	gloss	n
Jakarta Indonesian	Jakarta	DKI Jakarta	Jakarta	Jakarta Indonesian	-6.209199	106.833797	Jakarta Indonesian	Conversation	NA	Spoken	Natural	girang	happy	4
Jakarta Indonesian	Jakarta	DKI Jakarta	Jakarta	Jakarta Indonesian	-6.209199	106.833797	Jakarta Indonesian	NA	NA	Spoken	Natural	girang	happy	3
Jakarta Indonesian	West Java	West Java	Bekasi Project	Bekasi	-6.220715	106.991571	Jakarta Indonesian	Conversation	NA	Spoken	Natural	ria	happy	1
Jakarta Indonesian	West Java	West Java	Bekasi Project	Bekasi	-6.220715	106.991571	Jakarta Indonesian	Conversation	NA	Spoken	Natural	seneng	happy	1
Jakarta Indonesian	West Java	West Java	Jakarta	Jakarta Indonesian	-6.220715	106.991571	Jakarta Indonesian	Conversation	NA	Spoken	Natural	seneng	happy	4
Kerinci (Pulau Tengah)	Jambi Province	Jambi	Kerinci, Pulau Tengah	Kerinci, Pulau Tengah	-2.170181	101.467514	Kerinci (various dialects)	narrative	Traditonal folk story	Spoken	Natural	bahagiya	happy	7
Kerinci (Pulau Tengah)	Jambi Province	Jambi	Kerinci, Pulau Tengah	Kerinci, Pulau Tengah	-2.170181	101.467514	Kerinci (various dialects)	narrative	Personal	Spoken	Elicited	arawʔ	happy	3
Kerinci (Pulau Tengah)	Jambi Province	Jambi	Kerinci, Pulau Tengah	Kerinci, Pulau Tengah	-2.170181	101.467514	Kerinci (various dialects)	narrative	Personal	Spoken	natural	arawʔ	happy	3
Kerinci (Pulau Tengah)	Jambi Province	Jambi	Kerinci, Pulau Tengah	Kerinci, Pulau Tengah	-2.170181	101.467514	Kerinci (various dialects)	narrative	Personal	Spoken	Elicited	aroʔ	happy	3
Kerinci (Pulau Tengah)	Jambi Province	Jambi	Kerinci, Pulau Tengah	Kerinci, Pulau Tengah	-2.170181	101.467514	Kerinci (various dialects)	narrative	Personal	Spoken	natural	aroʔ	happy	3
Kerinci (Pulau Tengah)	Jambi Province	Jambi	Kerinci, Pulau Tengah	Kerinci, Pulau Tengah	-2.170181	101.467514	Kerinci (various dialects)	narrative	Traditional folk story	Spoken	natural	aroʔ	happy	3
Kerinci (Pulau Tengah)	Jambi Province	Jambi	Kerinci, Pulau Tengah	Kerinci, Pulau Tengah	-2.170181	101.467514	Kerinci (various dialects)	narrative	Traditonal folk story	spoken	Natural	aroʔ	happy	3
